sc0,model,sum8
0.25,A_dodeca_poincare,0.05925119733120257
0.3333333333333333,A_dodeca_poincare,0.06484725733150426
0.5,A_dodeca_poincare,0.0656163472232449
1.0,A_dodeca_poincare,0.06376601333314749
1.5,A_dodeca_poincare,0.061039348202646976
2.0,A_dodeca_poincare,0.06124574053553908
2.5,A_dodeca_poincare,0.06415146549207945
3.0,A_dodeca_poincare,0.0660281232390544
3.5,A_dodeca_poincare,0.05917672538666298
4.0,A_dodeca_poincare,0.06589169000852152
0.25,B_D6_weeks,0.06004628035956234
0.3333333333333333,B_D6_weeks,0.06269828783465256
0.5,B_D6_weeks,0.0622950000904516
1.0,B_D6_weeks,0.05545516538137475
1.5,B_D6_weeks,0.06810304107894077
2.0,B_D6_weeks,0.06561915282045058
2.5,B_D6_weeks,0.06298383486849018
3.0,B_D6_weeks,0.060298482023240146
3.5,B_D6_weeks,0.06313786297866145
4.0,B_D6_weeks,0.06195323180177186
0.25,C_seifert_weber,0.058143791064661846
0.3333333333333333,C_seifert_weber,0.061174679321950774
0.5,C_seifert_weber,0.06946365161588078
1.0,C_seifert_weber,0.060500809482536944
1.5,C_seifert_weber,0.06608843581965437
2.0,C_seifert_weber,0.06526007596866701
2.5,C_seifert_weber,0.06199663643078722
3.0,C_seifert_weber,0.06340141321680506
3.5,C_seifert_weber,0.06471340325414683
4.0,C_seifert_weber,0.06626230287910553
