sc0,volA,volB,volC,ratio_A_over_B,ratio_A_over_C,ratio_B_over_C
0.25,398.79656906871367,341.7507735203765,399.38358956781593,1.166922213403376,0.9985301837270342,0.8556955830112963
0.3333333333333333,673.4240547187399,598.9661017157408,674.6366382194369,1.1243107962031806,0.9982026124405318,0.8878351215797993
0.5,2007.5944494839498,1887.2969730550933,2003.3395647257719,1.0637406185387575,1.002123895935116,0.9420754255973759
1.0,14643.013675326381,14400.684612507293,14667.43450158369,1.0168276071131104,0.9983350308293744,0.981813459671656
1.5,48528.39773433146,48212.87122545315,48610.223108358514,1.0065444455154484,0.9983167044132949,0.9918257548001864
2.0,114552.73476370556,113776.01141247718,114473.44494698757,1.006826776062772,1.0006926481224945,0.9939074644356743
2.5,222816.53798456804,222125.4059268298,222492.51179923463,1.003111449835531,1.0014563464752728,0.9983500304372666
3.0,384253.1596619014,384007.7911926429,384328.66210336343,1.0006389674243235,0.9998035472008546,0.9991651132419724
3.5,608503.2539870269,609183.5273194457,610172.9811954668,0.9988833031395116,0.9972635182810478,0.998378404310721
4.0,908398.8299608512,906360.5209579547,911057.5473450476,1.0022488942929049,0.9970817239899453,0.9948444240423883
