sc0,model,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8
0.25,A_dodeca_poincare,0.001428946667474542,0.0018559640240302978,0.003809351525613695,0.006795837543680822,0.008654430660380793,0.010617039442194894,0.01186426727064884,0.014225360197178682
0.25,B_D6_weeks,0.0014576020665865996,0.0015483093050680248,0.0036443874132334932,0.007220739140526443,0.009334986233907865,0.009551159246659436,0.011574483951332315,0.01571461300224816
0.25,C_seifert_weber,0.0012131681539159802,0.0019965552121472517,0.0038460106511605547,0.0062175434001647415,0.007811405748668179,0.009760585773059226,0.012933993185266864,0.01436452894027905
0.3333333333333333,A_dodeca_poincare,0.0012149108961010025,0.002188593335081711,0.00408989437874123,0.007331754837600279,0.009811188529752182,0.011274921165948065,0.013395970386928557,0.015540023801351239
0.3333333333333333,B_D6_weeks,0.0014740531224181877,0.0021351003105404575,0.004407794802415661,0.007766135615346582,0.009729084972984013,0.011005187674002596,0.011839412349174348,0.01434151898777072
0.3333333333333333,C_seifert_weber,0.0015068275454255785,0.0020623190288197053,0.004179868902291203,0.0070389945581643696,0.00955335174030597,0.011039820240335313,0.011867255966878636,0.013926241339729998
0.5,A_dodeca_poincare,0.0015031688773787606,0.0021565115545176517,0.0044171437985909435,0.008163189093745981,0.009883918217964914,0.01133194472058419,0.012122535937149554,0.01603793502331291
0.5,B_D6_weeks,0.0015992408701717307,0.0019199506703239486,0.004131976322902943,0.007975793740519793,0.00942779325011866,0.01120922764217105,0.01150214105885,0.014528876535393472
0.5,C_seifert_weber,0.001475533962253423,0.0019583576881355745,0.004180511245731656,0.007921325023470073,0.010835730531288553,0.012405306634576129,0.013565608488830826,0.01712127804159455
1.0,A_dodeca_poincare,0.0014876602056363034,0.001914511328053327,0.004189958702795704,0.007947009070774422,0.009949438133717634,0.011527592270778979,0.011855807266551352,0.014894036354839768
1.0,B_D6_weeks,0.0014530618105913148,0.0016543476923433775,0.003915441610663994,0.006859677068213457,0.008852926898571449,0.00940377386997189,0.010764750478124602,0.01255118595289466
1.0,C_seifert_weber,0.0016757000029715284,0.0017583164823293067,0.004212606166985727,0.0074872442542812424,0.010224759523811074,0.010610215955469696,0.010833316391358363,0.013698650705330013
1.5,A_dodeca_poincare,0.0014822213618904086,0.001872319089560701,0.00398071199187481,0.00830843625933654,0.010247296903056305,0.010541293624597289,0.011269505895557128,0.01333756307677379
1.5,B_D6_weeks,0.0016500173924498744,0.0018070687257055068,0.004159294653304621,0.008912598063305632,0.010448235491130655,0.011290694932075239,0.013132037892764962,0.01670309392820428
1.5,C_seifert_weber,0.0016747727800921863,0.0018536632997746875,0.004171974593217509,0.008518485366512042,0.010168384221873833,0.012441955696954244,0.012762790322743175,0.014496409538486693
2.0,A_dodeca_poincare,0.0017113611713995048,0.0019557532519836464,0.004431794771620923,0.007622275486118583,0.009334514495182734,0.01042993372784284,0.01127407782644811,0.014486029804942738
2.0,B_D6_weeks,0.0017806352046766108,0.001982695233497722,0.0045269072161047115,0.008358150071033844,0.00965170669166328,0.011716341279244114,0.01285589887847589,0.014746818245754408
2.0,C_seifert_weber,0.0017495082041870554,0.001790687985494043,0.004254967124873239,0.008443033975181367,0.010109202535775066,0.011301157287503636,0.01259536619444565,0.01501615266120695
2.5,A_dodeca_poincare,0.0016012540475585037,0.0018623581311003198,0.0043141301776806916,0.007993585016679905,0.010739291541442514,0.0111253925577881,0.012009787111879644,0.01450566690794977
2.5,B_D6_weeks,0.0016339847349513019,0.0018542789854313429,0.004154805484497455,0.008533648859828024,0.010187624551928539,0.011607001578133736,0.012144175695992392,0.012868314977727394
2.5,C_seifert_weber,0.0016097708725579093,0.0017925760930553774,0.003985168807062877,0.008717075670622425,0.009665255248506616,0.010730971738527084,0.011219755732500473,0.014276062267954455
3.0,A_dodeca_poincare,0.001716626095069989,0.001776897690575809,0.004410527015445351,0.00836513420406208,0.010209631553945744,0.01225949826724625,0.012537378440058155,0.014752429972651016
3.0,B_D6_weeks,0.001552901526739053,0.0018319276469083265,0.004012723956648147,0.008503797407466969,0.009703703594563028,0.010391111765282918,0.011953142502624857,0.012349173623006844
3.0,C_seifert_weber,0.0015389287658517158,0.0018304694349676935,0.004552013983644006,0.007641430267642616,0.010258143903806182,0.01173048412197541,0.011898741670618282,0.013951201068299167
3.5,A_dodeca_poincare,0.0015767255072417238,0.0018481117364003011,0.004262195275249003,0.008117543251807162,0.009609049977064068,0.010849546936286106,0.010926333194189078,0.011987219508425535
3.5,B_D6_weeks,0.001662430730344228,0.0017779054506605915,0.004429281797625689,0.007514920608527505,0.010764156275348638,0.01160529195743943,0.011962638837803047,0.013421237320912317
3.5,C_seifert_weber,0.0015334342443523669,0.001957671220383473,0.004556021177158696,0.007262143549981107,0.00999269612656885,0.011694891547554927,0.012969694511077882,0.014746850877069523
4.0,A_dodeca_poincare,0.0016131331440239476,0.0017510520511267744,0.004453717184905449,0.007856860086120195,0.01088031172022329,0.011288343752031514,0.012484976113357119,0.015563295956733227
4.0,B_D6_weeks,0.0016157254910572655,0.0019173807884828862,0.004067073168063356,0.008442610305232578,0.008818571639114575,0.010343698639027036,0.011884183297242255,0.014863988473551911
4.0,C_seifert_weber,0.0015301322837904861,0.0019552811386122724,0.004181537847896132,0.008196752968448554,0.01110153773030263,0.01171703910756433,0.012432367062806818,0.015147654739684317
