p,q,r,s,sc0,volume
2,3,3,-6,0.25,1142.198075979516
2,3,3,-6,0.3333333333333333,1030.9360814147894
2,3,3,-6,0.5,2457.576389499843
2,3,3,-6,1.0,15559.532826750308
2,3,3,-6,1.5,49969.076264325595
2,3,3,-6,2.0,116271.1537178526
2,3,3,-6,2.5,225148.36690903644
2,3,3,-6,3.0,387081.66246307164
2,3,3,-6,3.5,612399.6967161405
2,3,3,-6,4.0,912454.6454285725
2,3,4,-12,0.25,466.1826009925266
2,3,4,-12,0.3333333333333333,732.6432953027354
2,3,4,-12,0.5,2096.481508613564
2,3,4,-12,1.0,14822.25286788033
2,3,4,-12,1.5,48730.16280091644
2,3,4,-12,2.0,114764.05111582688
2,3,4,-12,2.5,223429.32057374404
2,3,4,-12,3.0,384748.22671344585
2,3,4,-12,3.5,608623.5120001374
2,3,4,-12,4.0,909298.3324398403
2,3,5,-30,0.25,398.8105457472637
2,3,5,-30,0.3333333333333333,673.4920874564027
2,3,5,-30,0.5,2003.7734906501187
2,3,5,-30,1.0,14651.690672201688
2,3,5,-30,1.5,48568.86410112302
2,3,5,-30,2.0,114388.54169191782
2,3,5,-30,2.5,222802.8659936257
2,3,5,-30,3.0,384062.0441069507
2,3,5,-30,3.5,609997.0233954743
2,3,5,-30,4.0,907817.9337256488
2,3,6,inf,0.25,372.3579371216563
2,3,6,inf,0.3333333333333333,646.2374106089345
2,3,6,inf,0.5,1958.804939549164
2,3,6,inf,1.0,14563.7719346876
2,3,6,inf,1.5,48375.97762495101
2,3,6,inf,2.0,114362.79559774091
2,3,6,inf,2.5,222990.18364325247
2,3,6,inf,3.0,384836.51072224264
2,3,6,inf,3.5,608599.7150806438
2,3,6,inf,4.0,909278.1618070378
2,3,7,42,0.25,358.93432927117493
2,3,7,42,0.3333333333333333,629.0817456773661
2,3,7,42,0.5,1932.5261086923172
2,3,7,42,1.0,14497.12815880434
2,3,7,42,1.5,48436.345778641546
2,3,7,42,2.0,113838.7548488779
2,3,7,42,2.5,222342.35353807424
2,3,7,42,3.0,382881.06244943116
2,3,7,42,3.5,609737.3173375502
2,3,7,42,4.0,908766.6371311167
2,3,11,13.2,0.25,342.4874588652127
2,3,11,13.2,0.3333333333333333,597.6378091470639
2,3,11,13.2,0.5,1884.9925391508307
2,3,11,13.2,1.0,14423.106785297285
2,3,11,13.2,1.5,48141.88381981329
2,3,11,13.2,2.0,113805.38307018628
2,3,11,13.2,2.5,221934.41011045963
2,3,11,13.2,3.0,384045.485902724
2,3,11,13.2,3.5,608517.8674104054
2,3,11,13.2,4.0,908670.9851998952
